iter	Passed	Remaining
399	165035	41258
400	165489	40856
401	165929	40450
402	166247	40014
403	166744	39622
404	167187	39216
405	167765	38842
406	168199	38433
407	168658	38030
408	169055	37613
409	169449	37196
410	169852	36780
411	170256	36365
412	170710	35960
413	171074	35537
414	171436	35113
415	171966	34724
416	172289	34292
417	172766	33892
418	173070	33457
419	173435	33035
420	173839	32620
421	174338	32223
422	174690	31799
423	175158	31396
424	175544	30978
425	175880	30552
426	176412	30159
427	176748	29733
428	177138	29316
429	177706	28928
430	178055	28505
431	178429	28086
432	178796	27665
433	179163	27246
434	179833	26871
435	180475	26491
436	180932	26084
437	181447	25684
438	181862	25270
439	182214	24847
440	182601	24429
441	183013	24015
442	183465	23606
443	183982	23204
444	184482	22801
445	185026	22402
446	185537	21998
447	185911	21578
448	186356	21167
449	186748	20749
450	187226	20341
451	187741	19937
452	188125	19518
453	188565	19105
454	188880	18680
455	189373	18272
456	189677	17847
457	190194	17441
458	190653	17030
459	190963	16605
460	191270	16181
461	191602	15759
462	191930	15337
463	192467	14932
464	192962	14524
465	193370	14108
466	193873	13699
467	194390	13291
468	194936	12884
469	195433	12474
470	195920	12063
471	196390	11650
472	196972	11243
473	197294	10822
474	197890	10415
475	198336	10000
476	198670	9579
477	199099	9163
478	199466	8744
479	199872	8328
480	200289	7911
481	200763	7497
482	201118	7078
483	201466	6660
484	202062	6249
485	202462	5832
486	202854	5415
487	203247	4997
488	203854	4585
489	204217	4167
490	204557	3749
491	204909	3331
492	205308	2915
493	205697	2498
494	206258	2083
495	206704	1666
496	207008	1249
497	207500	833
498	207867	416
499	208429	0
