iter	Logloss
0	0.5422415569
1	0.4344572661
2	0.3572988367
3	0.3021939565
4	0.2618186588
5	0.2339723355
6	0.2126276262
7	0.1970154416
8	0.1842385337
9	0.1750672834
10	0.1677378455
11	0.1628146247
12	0.1577960641
13	0.1539146468
14	0.1509069617
15	0.1485469908
16	0.146702501
17	0.1451909272
18	0.1440975883
19	0.1430711635
20	0.1422445727
21	0.1415373974
22	0.1409776197
23	0.1405915687
24	0.1402297989
25	0.1398790773
26	0.1394557362
27	0.1390786124
28	0.1388639485
29	0.1386623292
30	0.1385103886
31	0.1383499782
32	0.1381504257
33	0.1379580686
34	0.1378436764
35	0.1376367342
36	0.1374296677
37	0.1373060678
38	0.137242899
39	0.1371442351
40	0.1370192871
41	0.1369417918
42	0.1367507393
43	0.1366998657
44	0.1366110917
45	0.1365822558
46	0.1365132181
47	0.1364571219
48	0.1364010542
49	0.1363696171
50	0.136330067
51	0.1362873844
52	0.1361996472
53	0.1361686581
54	0.1361481236
55	0.1359933919
56	0.1359422135
57	0.135912814
58	0.1358908452
59	0.1358670787
60	0.13583795
61	0.1357706308
62	0.1357486891
63	0.1356348323
64	0.1356119589
65	0.1355791458
66	0.1355643123
67	0.1355470953
68	0.1355177731
69	0.135478038
70	0.135463645
71	0.1354475674
72	0.1354299622
73	0.1353952618
74	0.135347704
75	0.1353170303
76	0.1352502955
77	0.1352275326
78	0.1352096059
79	0.1351845647
80	0.1351732594
81	0.1351564377
82	0.1351410469
83	0.1350829636
84	0.135065282
85	0.135050203
86	0.1350252949
87	0.13500855
88	0.1349782049
89	0.1349416441
90	0.1349260302
91	0.1349142967
92	0.1348926263
93	0.1348594943
94	0.1348374971
95	0.1348255854
96	0.1348057864
97	0.1347699734
98	0.134751062
99	0.1347404763
100	0.1347286482
101	0.1346817609
102	0.134663091
103	0.1346132681
104	0.1345929573
105	0.1345792867
106	0.1345627279
107	0.1345426283
108	0.1345170111
109	0.1345089226
110	0.1344903266
111	0.1344728195
112	0.1344596771
113	0.1344468611
114	0.1344331289
115	0.1344094137
116	0.1343954795
117	0.1343828851
118	0.13436647
119	0.134357127
120	0.1343505785
121	0.1342982817
122	0.1342291644
123	0.1342198065
124	0.1342147975
125	0.1342088694
126	0.134200311
127	0.1341911775
128	0.1341703305
129	0.1341653724
130	0.1341555751
131	0.1341421373
132	0.1341257751
133	0.1341181747
134	0.1340992133
135	0.1340809428
136	0.1340529279
137	0.1340487701
138	0.1340259575
139	0.1340108493
140	0.1340004905
141	0.1339853296
142	0.1339749319
143	0.133966225
144	0.1339634075
145	0.1339568593
146	0.1339382999
147	0.1339233577
148	0.1339193588
149	0.1339085622
150	0.1338966591
151	0.1338934939
152	0.1338877535
153	0.1338790304
154	0.1338648353
155	0.1338576149
156	0.1338472728
157	0.133840404
158	0.133835247
159	0.1338196027
160	0.1338127304
161	0.1338033949
162	0.1337916543
163	0.1337818646
164	0.133773774
165	0.1337693655
166	0.1337242415
167	0.1336984177
168	0.133688939
169	0.133675888
170	0.1336675187
171	0.1336479607
172	0.1336382194
173	0.1336311624
174	0.1336133716
175	0.1335894345
176	0.1335775332
177	0.1335330377
178	0.1335083623
179	0.1334894333
180	0.1334810833
181	0.1334700155
182	0.1334472249
183	0.1334396404
184	0.1334261139
185	0.1334200892
186	0.1334091874
187	0.1334037013
188	0.1333978415
189	0.1333807499
190	0.1333642566
191	0.1333574348
192	0.1333550605
193	0.1333452399
194	0.1333373889
195	0.1333339643
196	0.1333235617
197	0.133312903
198	0.1333039363
199	0.1332958881
200	0.1332769287
201	0.1332710132
202	0.1332656786
203	0.1332581418
204	0.1332499346
205	0.1332206141
206	0.1332166902
207	0.1332141904
208	0.133208877
209	0.1332064261
210	0.1331993006
211	0.133195228
212	0.1331914852
213	0.1331786865
214	0.1331730176
215	0.1331678303
216	0.1331299927
217	0.1331181915
218	0.133115638
219	0.1331098808
220	0.1330991205
221	0.1330961696
222	0.1330817605
223	0.133073066
224	0.1330671199
225	0.1330565639
226	0.1330512862
227	0.1330483628
228	0.1330373983
229	0.133035609
230	0.1330244235
231	0.1330090753
232	0.1329997428
233	0.1329957715
234	0.1329934667
235	0.1329737896
236	0.1329657684
237	0.1329556714
238	0.1329192739
239	0.1329136527
240	0.1329101956
241	0.1329077056
242	0.1329016295
243	0.1328966435
244	0.132888364
245	0.1328866718
246	0.1328805863
247	0.1328717402
248	0.1328673469
249	0.1328649608
250	0.1328423709
251	0.1328327439
252	0.1328265723
253	0.132821726
254	0.1328119104
255	0.1327941739
256	0.1327910073
257	0.1327885801
258	0.1327848629
259	0.1327787333
260	0.1327755084
261	0.1327673622
262	0.1327582955
263	0.132745224
264	0.1327269015
265	0.1327159816
266	0.132709777
